MonthYear,CPI_Value
Jan 2018,247.867004394531
Feb 2018,248.990997314453
Mar 2018,249.554000854492
Apr 2018,250.546005249023
May 2018,251.587997436523
Jun 2018,251.988998413086
Jul 2018,252.005996704102
Aug 2018,252.14599609375
Sep 2018,252.438995361328
Oct 2018,252.884994506836
Nov 2018,252.037994384766
Dec 2018,251.233001708984
Jan 2019,251.712005615234
Feb 2019,252.776000976563
Mar 2019,254.201995849609
Apr 2019,255.548004150391
May 2019,256.092010498047
Jun 2019,256.143005371094
Jul 2019,256.571014404297
Aug 2019,256.558013916016
Sep 2019,256.759002685547
Oct 2019,257.346008300781
Nov 2019,257.2080078125
Dec 2019,256.973999023438
Jan 2020,257.971008300781
Feb 2020,258.678009033203
Mar 2020,258.114990234375
Apr 2020,256.389007568359
May 2020,256.394012451172
Jun 2020,257.796997070313
Jul 2020,259.101013183594
Aug 2020,259.917999267578
Sep 2020,260.279998779297
Oct 2020,260.388000488281
Nov 2020,260.22900390625
Dec 2020,260.473999023438
Jan 2021,261.582000732422
Feb 2021,263.014007568359
Mar 2021,264.877014160156
Apr 2021,267.053985595703
May 2021,269.195007324219
Jun 2021,271.696014404297
Jul 2021,273.002990722656
Aug 2021,273.566986083984
Sep 2021,274.309997558594
Oct 2021,276.588989257813
Nov 2021,277.947998046875
Dec 2021,278.802001953125
Jan 2022,281.148010253906
Feb 2022,283.716003417969
Mar 2022,287.503997802734
Apr 2022,289.109008789063
May 2022,292.295989990234
Jun 2022,296.311004638672
Jul 2022,296.276000976563
Aug 2022,296.170989990234
Sep 2022,296.808013916016
Oct 2022,298.011993408203
Nov 2022,297.710998535156
Dec 2022,296.796997070313
Jan 2023,299.170013427734
Feb 2023,300.839996337891
Mar 2023,301.835998535156
Apr 2023,303.363006591797
May 2023,304.127014160156
Jun 2023,305.109008789063
Jul 2023,305.691009521484
Aug 2023,307.026000976563
Sep 2023,307.789001464844
Oct 2023,307.670989990234
Nov 2023,307.050994873047
Dec 2023,306.746002197266
Jan 2024,308.4169921875
Feb 2024,310.325988769531
Mar 2024,312.332000732422
Apr 2024,313.548004150391
May 2024,314.069000244141
Jun 2024,314.174987792969
Jul 2024,314.540008544922
Aug 2024,314.795989990234
Sep 2024,315.300994873047
Oct 2024,315.664001464844
Nov 2024,315.493011474609
Dec 2024,315.605010986328
Jan 2025,317.670989990234
Feb 2025,319.082000732422
Mar 2025,319.799011230469
Apr 2025,320.795013427734
May 2025,321.464996337891
Jun 2025,322.561004638672
Jul 2025,323.048004150391
Aug 2025,323.976013183594
Sep 2025,324.799987792969
Nov 2025,324.122009277344
Dec 2025,324.053985595703
Jan 2026,325.252014160156
Feb 2026,326.785003662109
Mar 2026,330.213012695313
